"age","gender","income","education_level","household_size","employment_status","region","urbanicity","marital_status","n_children","children_flag","housing_tenure","home_type","years_at_address","car_ownership","commute_mode","commute_minutes","spend_30d","web_visits","avg_time_on_site","pages_viewed","device_type","ad_clicks","email_opens","social_media_engagement","search_channel","purchase_amount","pet_ownership","time_visit"
30,"Female",384219,"Bachelor",1,"Student","R04","Urban","Single",1,1,"Owner","Apartment",7,1,"Public",35,562,1,9.6,6,"Desktop",0,4,3.8,"Paid",245,NA,NA
26,"Male",333133,"Bachelor",1,"Employed","R05","Suburban","Cohabiting",3,1,"Renter","Townhouse",2,1,"Car",32,574,8,13,1,"Desktop",1,2,4.3,"Paid",376,NA,NA
38,"Male",896867,"HighSchool",1,"SelfEmployed","R02","Urban","Married",1,1,"Renter","House",2,1,"Car",26,1949,1,NA,1,"Mobile",0,0,0.8,"Organic",218,NA,NA
29,"Female",432594,"Master",3,"Employed","R01","Urban","Cohabiting",1,1,"Renter","Apartment",8,1,"Car",14,625,8,6.9,4,"Desktop",1,3,3.2,"Organic",716,NA,NA
48,"Male",309175,"HighSchool",4,"Employed","R02","Urban","Married",2,1,"Owner","Apartment",7,0,"Public",39,731,11,8.2,4,"Desktop",0,4,3.7,"Paid",194,NA,NA
NA,"Male",256082,NA,2,"Unemployed","R18","Rural","Single",1,1,"Renter","House",4,1,"Car",49,351,NA,3.4,2,"Desktop",0,5,1.4,NA,118,NA,NA
40,"Female",920683,"HighSchool",2,"Employed","R01","Urban","Cohabiting",2,1,"Renter","House",7,1,"Car",15,1040,6,15,5,"Mobile",0,8,4.2,"Referral",230,NA,NA
38,"Female",682786,"Bachelor",1,"Employed","R05","Suburban","Cohabiting",2,1,"Renter","House",8,1,"Car",39,1696,6,5.5,1,"Mobile",0,5,2.5,"Organic",298,NA,NA
29,"Male",1015398,"HighSchool",4,"Student","R07","Suburban","Cohabiting",0,0,"Owner","Townhouse",9,1,"Car",52,3349,5,9.4,6,"Desktop",0,7,5.7,"Organic",290,NA,NA
50,"Male",320054,"Other",1,"Retired","R04","Urban","Cohabiting",2,1,"Owner","Apartment",12,1,"Public",31,855,0,5.9,5,"Desktop",0,3,4.2,"Direct",332,NA,NA
40,"Female",519089,"PhD",6,"Employed","R04","Urban","Married",3,1,"Owner","Apartment",12,1,"Walk",39,1147,9,11.6,7,"Mobile",1,5,4.9,"Paid",305,"Fish",NA
36,"Female",247562,"Bachelor",1,"Employed","R02","Urban","Single",1,1,"Renter","Apartment",9,0,"Public",28,1234,4,4.9,0,"Tablet",0,2,1.2,"Direct",0,NA,NA
37,"Female",471854,"Bachelor",4,"Student","R01","Urban","Cohabiting",1,1,"Owner","Apartment",5,1,"Public",27,1122,5,14.2,6,"Mobile",1,3,2.7,"Direct",376,"Fish",NA
41,"Female",282545,"Bachelor",4,"Employed","R01","Urban","Married",2,1,"Renter","Apartment",7,1,"Car",16,0,9,15.8,9,"Desktop",0,8,4.8,"Paid",254,NA,NA
36,"Male",557323,"HighSchool",1,"Employed","R01","Urban","Cohabiting",2,1,"Owner","Apartment",17,1,"Car",25,667,9,10.5,5,"Mobile",2,2,3.2,"Organic",0,NA,NA
18,"Male",440781,"Master",2,"Employed","R02","Urban","Single",0,0,"Owner","Townhouse",0,0,"Walk",10,1018,8,6.6,4,"Tablet",0,9,3.8,"Paid",320,NA,NA
37,"Female",996579,NA,NA,"Unemployed","R01","Urban","Cohabiting",2,1,"Owner","Townhouse",12,1,"Car",33,934,4,9.3,1,"Desktop",2,1,2.7,NA,326,"None",NA
32,"Female",535779,"HighSchool",2,"Employed","R01","Urban","Married",3,1,"Owner","Apartment",8,1,"Car",16,921,1,12.9,3,"Desktop",0,2,1.6,"Organic",87,NA,NA
36,"Male",360344,NA,5,"Employed","R13","Rural",NA,2,1,"Owner","Townhouse",9,0,"Remote",0,0,2,3.6,2,"Mobile",0,2,0,NA,0,NA,NA
40,"Female",172797,"Master",5,"Unemployed","R01","Urban","Cohabiting",0,0,"Owner","Townhouse",5,1,"Car",53,325,5,9.3,9,"Mobile",0,4,4.7,"Paid",295,NA,NA
48,"Female",350793,"Bachelor",3,"Employed","R01","Urban","Married",3,1,"Renter","Apartment",9,0,"Public",36,359,3,8.3,2,"Mobile",0,2,1.8,"Direct",0,NA,NA
30,"Female",326001,"HighSchool",1,"Unemployed","R07","Suburban","Single",0,0,"Owner","House",7,1,"Remote",0,0,5,6.8,6,"Mobile",0,3,2.8,"Organic",0,NA,694.5
47,"Female",846071,"Master",3,"Employed","R01","Urban","Married",3,1,"Owner","House",12,0,"Public",31,2155,3,3.2,2,"Mobile",0,2,0.5,"Organic",104,NA,NA
38,"Male",578708,"Bachelor",4,"SelfEmployed","R02","Urban","Single",1,1,"Owner","Apartment",15,0,"Remote",0,1143,5,15.3,8,"Desktop",0,4,4.4,"Direct",924,NA,NA
44,"Female",325693,"Bachelor",5,"Student","R01","Urban","Married",2,1,"Owner","Apartment",15,1,"Walk",27,1346,5,6.7,7,"Mobile",0,6,4.8,"Organic",0,NA,NA
43,"Male",510097,"HighSchool",2,"Student","R13","Rural","Cohabiting",0,0,"Owner","House",11,1,"Car",27,2110,4,10.8,4,"Mobile",0,6,4.4,"Paid",388,NA,NA
41,"Female",484457,"Bachelor",1,"Employed","R11","Suburban","Married",2,1,"Owner","House",11,1,"Bike",18,1420,1,5.9,4,"Desktop",0,5,1.5,"Direct",225,NA,NA
28,"Male",539357,"Master",3,"Employed","R02","Urban","Single",1,1,"Renter","Apartment",8,1,"Public",30,701,1,10.3,5,"Mobile",0,1,0,"Direct",60,"Dog",NA
34,"Male",382075,"Bachelor",5,"Employed","R19","Rural","Cohabiting",1,1,"Owner","House",3,1,"Car",40,601,10,10.9,5,"Desktop",1,2,4.6,"Direct",0,NA,NA
40,"Male",863497,"Other",1,"Employed","R15","Rural","Married",1,1,"Owner","House",9,1,"Car",38,632,0,6.5,2,"Desktop",0,4,1.6,"Referral",0,NA,NA
28,"Female",924721,"Other",3,"Employed","R03","Urban","Cohabiting",2,1,"Owner","Apartment",5,1,"Car",16,1341,3,6.9,2,"Desktop",0,2,2.9,"Organic",0,NA,NA
31,"Male",236393,"HighSchool",3,"Employed","R01","Urban","Cohabiting",1,1,"Renter","Townhouse",3,0,"Public",43,0,9,7.8,6,"Mobile",0,6,1.9,"Organic",173,NA,NA
NA,"Male",778301,NA,4,"Employed","R04","Urban","Cohabiting",0,0,"Owner","Apartment",9,1,"Car",17,2658,3,7.4,2,"Mobile",0,2,1,NA,0,NA,NA
41,"Male",298389,"Master",4,"Unemployed","R01","Urban","Cohabiting",2,1,"Owner","Apartment",10,0,"Walk",10,662,3,10.9,5,"Desktop",0,2,2,"Organic",326,NA,NA
39,"Female",508403,NA,5,"Employed","R01","Urban",NA,2,1,"Owner","Townhouse",12,1,"Public",31,965,1,4.5,2,"Mobile",0,3,1.5,NA,663,NA,NA
29,"Female",780369,"Master",2,"Employed","R02","Urban","Cohabiting",2,1,"Renter","Apartment",3,0,"Public",34,1720,7,8.5,4,"Mobile",0,1,2.1,"Paid",277,NA,NA
27,"Male",590534,"Bachelor",2,"Employed","R01","Urban","Cohabiting",1,1,"Renter","Apartment",8,0,"Public",23,0,4,8.8,6,"Tablet",0,5,2.7,"Paid",0,NA,NA
49,"Female",447915,"HighSchool",4,"Unemployed","R11","Suburban","Cohabiting",2,1,"Renter","House",9,0,"Car",38,808,9,10.7,12,"Mobile",1,8,5.1,"Referral",168,NA,NA
NA,"Male",474434,NA,4,"Employed","R14","Rural","Single",1,1,"Owner","Townhouse",8,1,"Car",39,1234,1,4,0,"Mobile",0,2,0.8,NA,0,NA,NA
36,"Male",1551745,"Bachelor",2,"Retired","R01","Urban","Married",3,1,"Owner","Apartment",11,1,"Bike",44,6866,11,8.4,9,"Desktop",0,3,3.5,"Paid",197,NA,NA
34,"Male",991676,"Bachelor",2,"Unemployed","R10","Suburban","Cohabiting",1,1,"Renter","Apartment",3,1,"Car",39,1287,10,16.5,5,"Mobile",0,9,5.3,NA,428,NA,NA
27,"Female",452583,"Bachelor",3,"Student","R17","Rural","Cohabiting",3,1,"Owner","Apartment",9,1,"Car",26,836,11,9.4,3,"Mobile",0,3,4,"Organic",300,NA,NA
40,"Female",377214,"Bachelor",4,"Student","R14","Rural","Married",1,1,"Owner","House",8,1,"Car",35,569,5,5.2,7,"Desktop",0,6,3.8,"Paid",106,NA,NA
33,"Female",1239135,"HighSchool",5,"Employed","R06","Suburban","Cohabiting",1,1,"Owner","Apartment",9,1,"Car",45,917,6,11.1,2,"Desktop",0,4,3.5,"Organic",206,NA,NA
34,"Female",472816,"Master",2,"Student","R01","Urban","Cohabiting",1,1,"Owner","Apartment",12,1,"Car",45,411,12,NA,5,"Desktop",1,7,4.1,"Paid",653,NA,803.4
43,"Female",561597,"Master",3,"Unemployed","R06","Suburban","Married",2,1,"Owner","Apartment",15,1,"Remote",0,1584,4,6.1,2,"Mobile",0,0,1.3,"Direct",0,NA,NA
42,"Male",924649,"Bachelor",3,"Employed","R08","Suburban","Cohabiting",3,1,"Renter","House",7,1,"Car",38,1529,8,9.3,2,"Mobile",0,6,3.8,"Paid",372,NA,NA
48,"Female",321166,NA,NA,"Employed","R01","Urban","Married",3,1,"Owner","Townhouse",12,1,"Bike",21,537,3,8.1,5,"Desktop",0,7,2.5,NA,735,NA,NA
32,"Male",354155,"Bachelor",2,"Employed","R10","Suburban","Cohabiting",4,1,"Renter","House",10,1,"Car",58,2101,5,7.2,5,"Tablet",0,3,1.3,"Direct",591,NA,NA
40,"Female",364705,"Bachelor",4,"Student","R03","Urban","Married",1,1,"Owner","Townhouse",11,0,"Remote",0,914,8,12,2,"Desktop",0,1,4.2,"Organic",333,NA,NA
48,"Female",494466,"Master",4,"Employed","R06","Suburban","Married",1,1,"Owner","House",11,1,"Public",45,1097,7,7.4,1,"Desktop",1,5,3.1,"Organic",287,NA,NA
27,"Male",119121,"Master",5,"Retired","R01","Urban","Cohabiting",3,1,"Owner","Apartment",9,0,"Walk",25,0,3,8.7,4,"Desktop",1,5,0.2,"Paid",0,NA,NA
29,"Male",357542,"HighSchool",1,"Employed","R01","Urban","Married",1,1,"Owner","Apartment",10,0,"Bike",31,0,4,8.9,1,"Mobile",0,3,4.2,"Paid",0,NA,NA
27,"Female",663949,"PhD",3,"Employed","R02","Urban","Single",2,1,"Owner","House",9,1,"Walk",17,1307,7,11,2,"Desktop",0,3,2.7,"Direct",0,NA,NA
25,"Female",534185,"Bachelor",4,"SelfEmployed","R02","Urban","Cohabiting",1,1,"Owner","Apartment",7,1,"Car",28,788,3,8,2,"Mobile",0,5,3.2,"Organic",159,NA,NA
36,"Female",545717,"Master",1,"Employed","R02","Urban","Single",0,0,"Owner","Townhouse",10,1,"Car",33,1020,12,7,5,"Desktop",0,7,5.1,"Organic",160,"Fish",NA
NA,"Male",188006,NA,4,"Unemployed","R11","Suburban","Cohabiting",2,1,"Owner","Apartment",7,0,"Remote",0,365,7,14.4,9,"Desktop",0,4,4.9,NA,106,NA,NA
46,"Male",506911,"Master",1,"Employed","R08","Suburban","Cohabiting",2,1,"Renter","Townhouse",6,1,"Car",47,1245,3,5.3,4,"Mobile",1,3,2,"Organic",570,NA,NA
44,"Female",422477,"Master",2,"SelfEmployed","R12","Suburban","Cohabiting",2,1,"Renter","Townhouse",9,0,"Bike",34,599,2,5.8,2,"Mobile",0,2,1.1,"Organic",216,NA,1049
NA,"Male",455062,NA,3,"Unemployed","R01","Urban","Cohabiting",1,1,"Renter","Apartment",6,1,"Car",12,1363,6,4.2,3,"Desktop",0,4,2.7,NA,304,NA,NA
53,"Female",735303,"Master",2,"Employed","R08","Suburban","Married",2,1,"Owner","House",13,1,"Car",40,1670,14,10.6,4,"Desktop",0,7,6,"Organic",224,NA,NA
30,"Female",997941,"Bachelor",5,"SelfEmployed","R01","Urban","Single",1,1,"Owner","House",8,1,"Public",31,3354,5,8.3,2,"Desktop",0,3,3.3,"Organic",177,NA,NA
36,"Male",391753,"Master",4,"Employed","R01","Urban","Married",1,1,"Owner","Apartment",10,0,"Public",25,786,9,17.6,4,"Desktop",0,6,5.1,"Paid",267,NA,NA
32,"Female",323966,NA,NA,"Unemployed","R02","Urban","Divorced",1,1,"Renter","Apartment",12,0,"Public",28,401,0,5.6,1,"Desktop",0,4,1,NA,246,NA,755.5
34,"Male",392678,"Master",6,"Unemployed","R06","Suburban","Married",1,1,"Owner","House",13,0,"Car",46,766,2,6.8,5,"Desktop",0,1,1.1,"Referral",370,NA,NA
NA,"Female",688936,NA,2,"SelfEmployed","R06","Suburban","Cohabiting",1,1,"Owner","Townhouse",7,1,"Car",28,979,7,6.9,1,"Tablet",1,2,2.6,NA,0,NA,NA
36,"Female",421586,"Master",3,"Student","R02","Urban","Single",0,0,"Renter","House",7,1,"Car",32,794,1,7.6,2,"Mobile",0,2,0.8,"Organic",122,NA,NA
35,"Female",357658,"Bachelor",5,"Student","R08","Suburban","Cohabiting",1,1,"Renter","House",2,1,"Car",32,1180,6,6.6,1,"Mobile",0,2,2.2,"Referral",126,NA,NA
36,"Female",437210,"Bachelor",6,"Employed","R01","Urban","Single",1,1,"Renter","House",8,1,"Car",9,1073,8,9.2,6,"Mobile",2,10,3.9,"Organic",135,NA,NA
31,"Male",947588,"Master",3,"Student","R06","Suburban","Cohabiting",2,1,"Owner","Townhouse",10,1,"Remote",0,1543,1,10.3,7,"Desktop",0,4,2,"Paid",188,NA,NA
31,"Male",271209,"Master",3,"Student","R04","Urban","Cohabiting",2,1,"Renter","House",11,0,"Bike",31,0,9,9.7,4,"Mobile",0,6,3,"Referral",370,"Cat",NA
24,"Female",379298,"Master",2,"Employed","R13","Rural","Single",1,1,"Renter","House",2,1,"Car",32,381,NA,7.6,1,"Desktop",1,6,0.5,"Organic",122,NA,NA
32,"Male",251780,"Master",3,"Unemployed","R11","Suburban","Cohabiting",1,1,"Owner","House",11,1,"Car",13,0,7,9.5,4,"Mobile",0,4,2.6,"Paid",244,NA,NA
31,"Female",1541570,"Master",3,"Employed","R08","Suburban","Married",1,1,"Owner","Townhouse",13,1,"Car",34,1725,4,11.5,5,"Tablet",1,6,3.4,"Direct",531,NA,NA
63,"Male",346909,"Other",4,"Unemployed","R01","Urban","Married",2,1,"Owner","Townhouse",16,0,"Public",38,0,2,6.4,2,"Mobile",1,7,3.9,"Referral",350,NA,NA
26,"Male",740686,"HighSchool",2,"Employed","R01","Urban","Cohabiting",2,1,"Owner","House",7,1,"Car",38,1142,6,8,2,"Mobile",0,5,4.5,"Organic",336,NA,567.6
36,"Female",459483,"Bachelor",1,"SelfEmployed","R02","Urban","Cohabiting",2,1,"Owner","Apartment",5,0,"Car",18,1053,6,4,4,"Desktop",0,5,3.1,"Direct",187,"Fish",867.5
25,"Male",408625,"HighSchool",3,"Employed","R14","Rural","Cohabiting",2,1,"Owner","Townhouse",6,1,"Car",42,794,5,8,4,"Mobile",0,4,1.9,"Paid",340,NA,NA
25,"Female",368840,"HighSchool",6,"Student","R01","Urban","Cohabiting",0,0,"Renter","Townhouse",7,1,"Car",13,0,8,12.6,3,"Mobile",0,2,5,"Organic",195,NA,NA
36,"Female",289240,"Master",3,"SelfEmployed","R09","Suburban","Cohabiting",3,1,"Renter","Apartment",5,1,"Public",39,640,6,6,4,"Mobile",0,5,3.3,"Organic",227,NA,NA
28,"Male",941161,"Master",1,"Employed","R02","Urban","Cohabiting",0,0,"Owner","Apartment",10,1,"Car",37,1774,5,6.6,2,"Desktop",0,5,1.4,"Paid",394,"None",NA
35,"Female",634927,"Bachelor",2,"Employed","R01","Urban","Cohabiting",2,1,"Renter","Townhouse",0,1,"Walk",41,1526,6,16.1,10,"Tablet",0,2,1.5,"Referral",332,NA,NA
32,"Female",457771,"Master",3,"Unemployed","R02","Urban","Single",1,1,"Renter","Townhouse",10,0,"Car",41,695,3,6.2,1,"Mobile",0,5,0.4,"Organic",319,NA,NA
31,"Male",246422,"HighSchool",3,"Employed","R13","Rural","Single",2,1,"Other","Apartment",7,0,"Bike",41,519,5,6,6,"Mobile",0,3,1.8,"Organic",370,NA,NA
22,"Female",344371,"HighSchool",3,"Employed","R01","Urban","Cohabiting",2,1,"Owner","Apartment",0,0,"Public",28,0,4,9.4,4,"Mobile",0,2,0,"Organic",371,"Reptile",435.1
27,"Male",760099,"Master",1,"Retired","R01","Urban","Single",2,1,"Owner","House",9,1,"Public",32,2386,5,10.3,5,"Mobile",0,8,4.5,"Paid",113,NA,NA
NA,"Male",260412,NA,1,"Employed","R02","Urban","Cohabiting",2,1,"Owner","Apartment",8,1,"Car",21,822,4,5.3,3,"Tablet",0,5,3.6,NA,453,NA,NA
40,"Male",328560,"Bachelor",2,"Employed","R03","Urban","Married",2,1,"Renter","Apartment",11,1,"Car",32,331,10,6.7,0,"Mobile",1,3,2.5,"Organic",0,NA,NA
31,"Male",692282,"Bachelor",2,"Employed","R01","Urban","Cohabiting",1,1,"Owner","Apartment",9,1,"Bike",40,1107,3,6.4,0,"Mobile",1,4,1.5,"Direct",0,NA,NA
35,"Female",555017,"HighSchool",5,"Unemployed","R16","Rural","Single",1,1,"Renter","House",12,1,"Car",23,0,3,5,1,"Mobile",0,3,2.9,"Organic",0,"None",NA
45,"Female",323505,"HighSchool",3,"Student","R02","Urban","Cohabiting",0,0,"Owner","Townhouse",11,0,"Remote",0,0,5,9.5,1,"Tablet",0,3,1.7,"Organic",250,"Bird",NA
48,"Male",1116759,"HighSchool",5,"Unemployed","R06","Suburban","Cohabiting",1,1,"Owner","Townhouse",10,1,"Car",26,678,6,6.6,3,"Mobile",0,4,2.9,"Paid",464,NA,NA
27,"Female",233767,"Master",4,"SelfEmployed","R06","Suburban","Cohabiting",1,1,"Renter","Townhouse",5,0,"Public",49,735,8,13.8,8,"Tablet",0,2,4.5,"Organic",397,"None",NA
34,"Female",980311,"Bachelor",2,"Employed","R05","Suburban","Single",1,1,"Owner","Townhouse",11,1,"Public",44,1680,5,9,3,"Desktop",0,2,2.2,"Organic",269,"Fish",NA
46,"Male",704186,"Bachelor",2,"Employed","R06","Suburban","Married",4,1,"Owner","House",10,1,"Car",43,2793,5,5.7,1,"Mobile",0,5,0,"Organic",139,NA,1080.3
32,"Male",141965,"Other",6,"Employed","R01","Urban","Single",0,0,"Renter","House",12,1,"Car",30,371,5,15,2,"Desktop",0,7,3.4,"Paid",422,NA,NA
35,"Male",536646,"Master",5,"Employed","R01","Urban","Cohabiting",0,0,"Owner","Townhouse",7,0,"Public",25,1121,9,15.9,3,"Desktop",0,8,4.5,"Organic",52,NA,NA
34,"Female",699112,"Bachelor",2,"Employed","R01","Urban","Single",1,1,"Renter","House",11,1,"Public",38,1876,3,9.5,4,"Desktop",0,3,2.2,"Organic",291,"Dog",NA
29,"Female",291146,"Bachelor",4,"Employed","R04","Urban","Single",1,1,"Renter","House",7,1,"Remote",0,1539,6,10.3,5,"Desktop",0,10,4.8,"Paid",352,NA,NA
32,"Female",447368,"HighSchool",4,"Employed","R01","Urban","Cohabiting",1,1,"Owner","Apartment",11,1,"Bike",32,1427,3,6.8,2,"Mobile",1,3,1.3,"Organic",217,NA,NA
35,"Female",184254,"Bachelor",2,"Student","R01","Urban","Single",2,1,"Renter","Apartment",10,0,"Bike",40,0,7,8,3,"Desktop",1,10,3.2,"Paid",624,NA,NA
